SF,82.5,167,100
SF,82,215,150
SF,81,190,100
SF,80.5,166.5,100
SF,79,216,220x150
SF,79,255,150
SF,79,255,150
SF,78.5,191,100
SF,78.5,355,200x100
SF,77.5,250,100
SF,76.5,264,75
SF,76,185,200x600
SF,75.5,200,130x80
SF,75,285,50
SF,74.5,100,60x80
SF,74,0,80
SF,74,10,250x100
SF,74,100,150
SF,74,150,225x150
SF,74,270,100
SF,73.5,358,100
SF,73,105,100
SF,72.5,95,60
SF,72.5,230,100
SF,71.5,210,220x150
SF,68.5,38,200x150
SF,68.5,163,200
SF,67,195,100X200
SF,67,227,150
SF,66.5,304.5,50
SF,66,64,100
SF,66,253,130
SF,65.5,61,150
SF,65,45,100
SF,64,228,80
SF,63.5,56,100
SF,63,75,200
SF,63,227,<80
SF,62.5,70,150
SF,62,192,100
SF,61.5,279,75
SF,61.5,280,50
SF,61,33,200x150
SF,61,110,250x200
SF,60,85,1000x200
SF,60,225,100
SF,59,155,700
SF,59,165,300
SF,59,250,200
SF,59,302,250
SF,58,31.5,150
SF,58,198,300X200
SF,57.5,213,200X200
SF,57,354,100
SF,56.5,317,400
SF,56,87,350
SF,56,196,80
SF,56,218,70
SF,56,237,225x100
SF,55.5,200.5,50
SF,55,206,150
SF,55,230,100
SF,54.5,105,350
SF,53.5,20,100
SF,53.5,167,150-100
SF,53.5,292,100
SF,52.5,209,100
SF,52,163,250
SF,52,351,225x150
SF,51.5,119,225
SF,51.5,324.5,120x80
SF,51,113,300
SF,50.5,194,80
SF,50,107,150x100
SF,50,342,250x100
SF,49.5,229,150
SF,48.5,60,80
SF,48.5,60,200
SF,48.5,233.5,80
SF,48,216,200
SF,48,334,150
SF,47.5,62,200x100
SF,47.5,225,500x225
SF,47.5,311,50
SF,47,126,300
SF,47,356,300
SF,46,59.5,100
SF,46,187,70
SF,46,196,100
SF,45.5,292,150
SF,45.5,323.5,150
SF,45,81,500x300
SF,44.5,72,300
SF,44.5,191,150
SF,44.5,222,100
SF,44.5,314,50
SF,44.5,330,130
SF,44,25,80
SF,44,56.5,50
SF,44,120,1200x300
SF,44,325,100x125
SF,43.5,99,120
SF,43.5,316.5,50
SF,43,95,300-200
SF,43,130.5,225x80
SF,43,214.5,50
SF,43,219,75x50
SF,43,335,150
SF,42.5,163,150
SF,42.5,229,70
SF,42.5,284,200x100
SF,42.5,319.5,200x300
SF,42,6,300
SF,42,232,100
SF,42,308,75
SF,42,315,150
SF,41.5,15.5,75
SF,41.5,323,300
SF,41,40,50
SF,41,132,180x90
SF,41,177.5,150
SF,41,237,200
SF,41,272,150
SF,41,275,100
SF,40.5,128.5,250
SF,40,62.5,100
SF,40,183,100
SF,40,189,100
SF,40,267,100
SF,40,335,600
SF,39.5,172.5,150
SF,39,117,250
SF,39,269.5,60
SF,39,288.5,250
SF,38,10,200
SF,38,97,300
SF,38,241,250
SF,37.5,96,150
SF,37,276,150
SF,36.5,120,200
SF,36.5,126,300-500
SF,36.5,201,150
SF,36,128,200
SF,36,236.5,150
SF,35.5,238.5,100
SF,35,231,150x100
SF,35,331,140
SF,35,341,300+
SF,35,342,350x225
SF,34.5,250,200
SF,34,53,200
SF,34,118,200
SF,34,203,200
SF,34,346,325
SF,33.5,91,70-80
SF,33.5,117,150
SF,33,14,150
SF,33,66,300x90
SF,33,222,150x100
SF,33,239,300
SF,33,294,200
SF,33,349.5,>400
SF,32.5,253,200x150
SF,32.5,338,150
SF,32,123,200
SF,32,198,200
SF,32,212,200
SF,32,293,300x100
SF,32,327.5,50
SF,31.5,310,100
SF,31.5,331.5,<100
SF,31,131,150
SF,31,280,200
SF,30.5,90,220
SF,30.5,128,150
SF,30.5,215.5,80x50
SF,30.5,270,80
SF,30.5,306,40
SF,30.5,331,80
SF,30,210,75
SF,30,227.5,50
SF,30,272,150x70
SF,29.5,192,180x90
SF,29.5,233,60
SF,29,21,150
SF,29,121,80
SF,28.5,228,100
SF,28.5,233,60
SF,28.5,286,100
SF,28.5,306,150
SF,28,120,250
SF,28,139,100
SF,28,303,300x75
SF,28,336,200
SF,27.5,95,100
SF,27.5,129.5,500x250
SF,27.5,268,250
SF,27,123,150
SF,27,136.5,100
SF,27,290,250
SF,26.5,78,100
SF,26,92,150
SF,26,237.5,400x150
SF,26,314.5,130
SF,25.5,104,100
SF,25.5,246,100
SF,25.5,330,150
SF,25,13.5,150
SF,25,117,300
SF,25,253,250
SF,25,350,300
SF,24.5,257.5,150
SF,24,9.5,100x180
SF,24,79.5,200x100
SF,24,271,150
SF,24,278.5,100
SF,24,284,100
SF,24,343,150
SF,23.5,226.5,100
SF,23.5,231,100x30
SF,23.5,259.5,150
SF,23.5,307,120
SF,23,102,300x200
SF,23,246.5,100
SF,22.5,306.5,80
SF,22,15,400+
SF,22,115,300x150
SF,22,318,600-800
SF,21.5,290,
SF,21,103,300
SF,21,136,300
SF,21,337,300
SF,21,342,500
SF,21,347,350
SF,20,138,400x100
SF,20,183,200
SF,20,288,200
SF,20,290,150
SF,19.5,307,100
SF,19,15.5,100+
SF,19,187,100
SF,18.5,62,250x200
SF,18.5,335,300
SF,18,236.5,80
SF,18,313.5,225
SF,18,353,200
SF,17.5,91.5,100-150
SF,17,77,200
SF,17,87,150
SF,17,131,200
SF,17,204,100
SF,17,215,100x60
SF,17,279,400x300
SF,17,354.5,100
SF,16.5,288,150
SF,16,102,150
SF,16,200,150
SF,15,57,60
SF,15,114,80
SF,15,282,80
SF,15,308,150
SF,14.5,94,80x40
SF,14.5,263,220
SF,14.5,268,200
SF,14.5,271.5,150
SF,14,131,200
SF,14,300,150
SF,13.5,118,100
SF,13.5,273.5,200
SF,13,256,80
SF,13,280,300
SF,13,314.5,250
SF,13,321,250
SF,12.5,20.5,100
SF,12.5,265,150
SF,12.5,341,80x150
SF,12,72,50
SF,12,111,>1000
SF,12,163,600
SF,12,206.5,200
SF,12,272,180
SF,11,78,60
SF,11,136,150
SF,11,287,200
SF,10.5,303.5,150
SF,10,147,300x225
SF,10,182,220x80
SF,10,230.5,300
SF,10,267,200
SF,9.5,153,200x300
SF,9.5,354,200
SF,9,280,400
SF,8.5,74,100
SF,8.5,296.5,100
SF,8,6.5,150
SF,8,79,80
SF,8,212,150x100
SF,8,234,100
SF,7,150,150
SF,6.5,323,400
SF,6,7,100
SF,6,280,200
SF,5.5,146,250
